,Course,Education Level,Institutions,Year,GE (%)
2430,SARJANA KEJURUTERAAN PEMBUATAN (KEJURUTERAAN INDUSTRI),Sarjana,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2022,85.7
2431,SARJANA MUDA BAHASA DAN LINGUISTIK JERMAN,Ijazah pertama,UNIVERSITI MALAYA,2022,85.7
2432,SARJANA MUDA DRAMA,Ijazah pertama,UNIVERSITI MALAYA,2022,85.7
2433,SARJANA MUDA KAUNSELING,Ijazah pertama,UNIVERSITI MALAYA,2022,85.7
2434,SARJANA MUDA KEJURUTERAAN (KEPUJIAN) MINYAK DAN GAS,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.7
2435,SARJANA MUDA KOMUNIKASI (KEPUJIAN) PENGURUSAN KOMUNIKASI DAN POLISI,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.7
2436,SARJANA MUDA SAINS (KEPUJIAN) (FIZIK),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,85.7
2437,SARJANA MUDA SAINS (KEPUJIAN) MATEMATIK,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.7
2438,SARJANA MUDA SAINS (MATEMATIK KEWANGAN) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA TERENGGANU,2022,85.7
2439,SARJANA MUDA SAINS GUNAAN (KEPUJIAN) (FIZIK KEJURUTERAAN),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,85.7
2440,SARJANA PENDIDIKAN (MULTIMEDIA),Sarjana,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,85.7
2441,SARJANA PENDIDIKAN BAHASA MALAYSIA,Sarjana,UNIVERSITI MALAYA,2022,85.7
2442,SARJANA PENGAJIAN BAHASA,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,85.7
2443,SARJANA PENGURUSAN EKONOMI,Sarjana,UNIVERSITI SAINS MALAYSIA,2022,85.7
2444,SARJANA PENTADBIRAN PERNIAGAAN,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2022,85.7
2445,SARJANA SAINS (KOMUNIKASI KEPENGURUSAN),Sarjana,UNIVERSITI UTARA MALAYSIA,2022,85.7
2446,SARJANA SAINS (PERALATAN KIMIA),Sarjana,UNIVERSITI SAINS MALAYSIA,2022,85.7
2447,SARJANA SAINS KELESTARIAN,Sarjana,UNIVERSITI MALAYA,2022,85.7
2448,SARJANA SAINS KOMPUTER,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,85.7
2449,SARJANA SAINS MARIN,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2022,85.7
2450,SARJANA SAINS PENGURUSAN FASILITI,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,85.7
2451,SARJANA TENAGA BOLEH DIPERBAHARUI,Sarjana,UNIVERSITI MALAYA,2022,85.7
2452,DIPLOMA SENI KULINARI,Diploma,UNIVERSITI TEKNOLOGI MARA,2022,85.6
2453,IJAZAH SARJANA MUDA KEUSAHAWANAN (PERDAGANGAN) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA KELANTAN,2022,85.6
2454,IJAZAH SARJANA MUDA KEUSAHAWANAN (PERUNCITAN) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA KELANTAN,2022,85.6
2455,SARJANA MUDA PENGURUSAN SISTEM PEJABAT (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.6
2456,SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEPUJIAN) PERNIAGAAN ANTARABANGSA,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.6
2457,SARJANA MUDA SASTERA (KEPUJIAN) (BAHASA INGGERIS UNTUK PROFESIONAL),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,85.6
2458,SARJANA MUDA UKUR BANGUNAN (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.6
2459,DIPLOMA USULUDDIN,Diploma,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,85.5
2460,SARJANA MUDA SAINS (KEPUJIAN) TEKNOLOGI PERSEKITARAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.5
2461,SARJANA MUDA SAINS PENTADBIRAN (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.5
2462,SARJANA MUDA SASTERA SEJARAH,Ijazah pertama,UNIVERSITI MALAYA,2022,85.5
2463,IJAZAH SARJANA MUDA TEKNOLOGI MAKLUMAT DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI KEBANGSAAN MALAYSIA,2022,85.4
