,Course,Education Level,Institutions,Year,GE (%)
1,BACELOR EKONOMI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
2,"BACELOR EKSEKUTIF KESELAMATAN, KESIHATAN DAN PERSEKITARAN",Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
3,BACELOR EKSEKUTIF OPERASI DAN PENGURUSAN PROJEK,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
4,BACELOR EKSEKUTIF PENGURUSAN OPERASI INDUSTRI,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
5,BACELOR EKSEKUTIF PENGURUSAN PROJEK (PETROLEUM & GAS),Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
6,BACELOR EKSEKUTIF PENGURUSAN RANTAIAN BEKALAN,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
7,BACELOR EKSEKUTIF TEKNOLOGI DAN PENGURUSAN MINYAK DAN GAS,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
8,BACELOR EKSEKUTIF TEKNOLOGI MEKANIKAL DAN PEMBUATAN,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
9,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
10,BACELOR KAUNSELING,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
11,BACELOR KEJURURAWATAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
12,BACELOR KEJURUTERAAN AEROANGKASA DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
13,BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
14,BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
15,BACELOR KEJURUTERAAN PERISIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
16,BACELOR KEJURUTERAAN PERTANIAN DAN BIOSISTEM DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
17,BACELOR KEJURUTERAAN SISTEM KOMPUTER DAN KOMUNIKASI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
18,BACELOR KOMUNIKASI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
19,BACELOR MUZIK,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
20,BACELOR MUZIK (PERSEMBAHAN MUZIK),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
21,BACELOR PENDIDIKAN (PENDIDIKAN JASMANI),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
22,BACELOR PENDIDIKAN (PENGAJARAN B. INGGERIS SEBAGAI B. KEDUA),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
23,BACELOR PENDIDIKAN BIMBINGAN DAN KAUNSELING,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
24,BACELOR PENDIDIKAN JASMANI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
25,BACELOR PENDIDIKAN PENGAJARAN BAHASA INGGERIS SEBAGAI BAHASA KEDUA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
26,BACELOR PENDIDIKAN SAINS PERTANIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
27,BACELOR PENDIDIKAN SAINS RUMAH TANGGA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
28,BACELOR PENGAJIAN PENGGUNA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
29,BACELOR PENGURUSAN ALAM SEKITAR,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
30,BACELOR PENTADBIRAN PERNIAGAAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
31,BACELOR PERAKAUNAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
32,BACELOR PERTADBIRAN PERNIAGAAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
33,BACELOR PERTANIAN (AKUAKULTUR),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
34,BACELOR PROFESIONAL PENGURUSAN FASILITI,Sijil Lanjutan,UNIVERSITI MALAYSIA PERLIS,2022,100
35,BACELOR PROFESIONAL PENGURUSAN PEMBINAAN,Sijil Lanjutan,UNIVERSITI MALAYSIA PERLIS,2022,100
36,BACELOR REKA BENTUK (REKA BENTUK PERINDUSTRIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
37,BACELOR SAINS (DIETETIK),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
38,BACELOR SAINS (KEPUJIAN) BIOTEKNOLOGI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
39,BACELOR SAINS (PEMBANGUNAN SUMBER MANUSIA),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
40,BACELOR SAINS (PENGAJIAN MAKANAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
41,BACELOR SAINS (PENGURUSAN PERKHIDMATAN MAKANAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
42,BACELOR SAINS (SAINS BIOPERUBATAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
43,BACELOR SAINS BIOINDUSTRI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
44,BACELOR SAINS BIOKIMIA DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
45,BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
46,BACELOR SAINS BIOLOGI DENGAN PENDIDIKAN (KEPUJIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
47,BACELOR SAINS BIOLOGI SEL DAN MOLEKUL DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
48,BACELOR SAINS BIOPERUBATAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
49,BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
50,BACELOR SAINS DALAM SAINS BAHAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
51,BACELOR SAINS DALAM SAINS INSTRUMENTASI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
52,BACELOR SAINS DAN TEKNOLOGI ALAM SEKITAR,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
53,BACELOR SAINS DAN TEKNOLOGI KAYU,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
54,BACELOR SAINS DIETETIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
55,BACELOR SAINS FIZIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
56,BACELOR SAINS FIZIK DENGAN PENDIDIKAN (KEPUJIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
57,BACELOR SAINS KIMIA DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
58,BACELOR SAINS KIMIA DENGAN PENDIDIKAN (KEPUJIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
59,BACELOR SAINS KIMIA PERINDUSTRIAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
60,BACELOR SAINS KIMIA PETROLEUM DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
61,BACELOR SAINS KOMPUTER (MULTIMEDIA),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
62,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
63,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
64,BACELOR SAINS MATEMATIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
65,BACELOR SAINS MATEMATIK DENGAN PENDIDIKAN (KEPUJIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
66,BACELOR SAINS MIKROBIOLOGI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
67,BACELOR SAINS PEMBANGUNAN MANUSIA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
68,BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN PENGURUSAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
69,BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN TEKNOLOGI MAKLUMAT,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
70,BACELOR SAINS PEMBANGUNAN SUMBER MANUSIA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
71,BACELOR SAINS PENGURUSAN PERLADANGAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
72,BACELOR SAINS PERHUTANAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
73,BACELOR SAINS PERNIAGAANTANI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
74,BACELOR SAINS PERTANIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
75,BACELOR SAINS SENI BINA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
76,BACELOR SAINS STATISTIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
77,BACELOR SAINS STATISTIK DENGAN PENDIDIKAN (KEPUJIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
78,BACELOR SAINS TAMAN DAN REKREASI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
79,BACELOR SAINS TEKNOLOGI KAYU,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
80,BACELOR SASTERA (BAHASA ASING),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
81,BACELOR SASTERA (BAHASA DAN LINGUISTIK MELAYU),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
82,BACELOR SASTERA (BAHASA INGGERIS),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
83,BACELOR SASTERA (KESUSASTERAAN INGGERIS),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
84,BACELOR SASTERA BAHASA ARAB,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
85,BACELOR SASTERA BAHASA DAN LINGUISTIK INGGERIS,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
86,BACELOR SASTERA BAHASA DAN LINGUISTIK MELAYU,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
87,BACELOR SASTERA BAHASA INGGERIS,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
88,BACELOR SASTERA KESUSASTERAAN INGGERIS,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
89,BACELOR SASTERA KESUSASTERAAN MELAYU,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
90,BACELOR SASTERA PENGAJIAN BAHASA CINA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
91,BACELOR SASTERA PENGAJIAN BAHASA JERMAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
92,BACELOR SASTERA PENGAJIAN BAHASA PERANCIS,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
93,BACELOR SENIBINA LANDSKAP,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
94,CERTIFIED ACCOUNTING TECHNICIANS (UK),Profesional,UNIVERSITI TEKNOLOGI MARA,2022,100
95,CHARTERED INSTITUTE OF MANAGEMENT ACCOUNTANTS (CIMA) (UK),Profesional,UNIVERSITI TEKNOLOGI MARA,2022,100
96,DIPLOMA AL-QURAN DAN AS-SUNNAH,Diploma,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
97,DIPLOMA BAHASA INGGERIS,Diploma,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,100
98,DIPLOMA EKSEKUTIF PENGAJIAN SYARIAH,Diploma,UNIVERSITI MALAYA,2022,100
99,DIPLOMA EKSEKUTIF PENGURUSAN (SUMBER MANUSIA),Diploma,UNIVERSITI MALAYA,2022,100
100,DIPLOMA EKSEKUTIF PENGURUSAN PENGANGKUTAN DAN PENGUATKUASAAN,Diploma,UNIVERSITI TEKNOLOGI MARA,2022,100
101,DIPLOMA EKSEKUTIF PENGURUSAN PERLADANGAN & TEKNOLOGI,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
102,DIPLOMA EKSEKUTIF SAINS SIASATAN,Diploma,UNIVERSITI MALAYA,2022,100
103,DIPLOMA EKSEKUTIF TEKNOLOGI MAKLUMAT,Diploma,UNIVERSITI MALAYA,2022,100
104,DIPLOMA FISIOTERAPI,Diploma,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
105,DIPLOMA KECERGASAN PERTAHANAN,Diploma,UNIVERSITI PERTAHANAN NASIONAL MALAYSIA,2022,100
106,DIPLOMA KEJURURAWATAN,Diploma,UNIVERSITI MALAYA,2022,100
107,DIPLOMA KEJURURAWATAN,Diploma,UNIVERSITI MALAYSIA SABAH,2022,100
108,DIPLOMA KEJURURAWATAN,Diploma,UNIVERSITI SAINS MALAYSIA,2022,100
109,DIPLOMA KEJURUTERAAN (KEJURUTERAAN ELEKTRIK),Diploma,UNIVERSITI MALAYSIA PERLIS,2022,100
110,DIPLOMA KEJURUTERAAN (KEJURUTERAAN MEKATRONIK),Diploma,UNIVERSITI MALAYSIA PERLIS,2022,100
111,DIPLOMA KEJURUTERAAN (KEJURUTERAAN METALURGI),Diploma,UNIVERSITI MALAYSIA PERLIS,2022,100
112,DIPLOMA KEJURUTERAAN AWAM,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
113,DIPLOMA KEJURUTERAAN AWAM,Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
114,DIPLOMA KEJURUTERAAN ELEKTRIK,Diploma,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2022,100
115,DIPLOMA KEJURUTERAAN ELEKTRIK (ELEKTRONIK INDUSTRI),Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
116,DIPLOMA KEJURUTERAAN ELEKTRIK (KUASA),Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
117,DIPLOMA KEJURUTERAAN ELEKTRIK (MEKATRONIK),Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
118,DIPLOMA KEJURUTERAAN ELEKTRONIK,Diploma,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2022,100
119,DIPLOMA KEJURUTERAAN ELEKTRONIK,Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
120,DIPLOMA KEJURUTERAAN KIMIA,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
121,DIPLOMA KEJURUTERAAN KIMIA (LOJI PROSES),Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
122,DIPLOMA KEJURUTERAAN MEKANIKAL,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
123,DIPLOMA KEJURUTERAAN MEKANIKAL,Diploma,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2022,100
124,DIPLOMA KEJURUTERAAN MEKANIKAL,Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
125,DIPLOMA KEJURUTERAAN PEMBUATAN,Diploma,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2022,100
126,DIPLOMA KEJURUTERAAN PERTANIAN,Diploma,UNIVERSITI PUTRA MALAYSIA,2022,100
127,DIPLOMA KEJURUTERAAN PROSES (OPERASI MINYAK DAN GAS),Diploma,UNIVERSITI MALAYSIA SABAH,2022,100
128,DIPLOMA KESIHATAN HAIWAN DAN PETERNAKAN,Diploma,UNIVERSITI PUTRA MALAYSIA,2022,100
129,DIPLOMA LANJUTAN KEBIDANAN,Diploma lanjutan,UNIVERSITI MALAYA,2022,100
130,DIPLOMA LANJUTAN KEJURURAWATAN (PERAWATAN KECEMASAN),Diploma lanjutan,UNIVERSITI MALAYA,2022,100
131,DIPLOMA LANJUTAN KEJURURAWATAN (PERAWATAN KRITIKAL),Diploma lanjutan,UNIVERSITI MALAYA,2022,100
132,DIPLOMA LANJUTAN KEJURURAWATAN (PERAWATAN PERIOPERATIF),Diploma lanjutan,UNIVERSITI MALAYA,2022,100
133,DIPLOMA MUZIK,Diploma,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,100
134,DIPLOMA PASCA SISWAZAH DALAM PENYALAHGUNAAN DADAH,Diploma pascasiswazah,UNIVERSITI SAINS ISLAM MALAYSIA,2022,100
135,DIPLOMA PASCASISWAZAH DALAM PENGAJARAN DAN PEMBELAJARAN PENDIDIKAN TINGGI,Diploma pascasiswazah,UNIVERSITI MALAYSIA SARAWAK,2022,100
136,DIPLOMA PASCASISWAZAH PEMBELAJARAN DAN PENGAJARAN PENDIDIKAN TINGGI,Diploma pascasiswazah,UNIVERSITI UTARA MALAYSIA,2022,100
137,DIPLOMA PENDIDIKAN LEPASAN IJAZAH,Diploma pascasiswazah,UNIVERSITI MALAYSIA SABAH,2022,100
138,DIPLOMA PENGAJARAN BAHASA INGGERIS SEBAGAI BAHASA KEDUA (TESL),Diploma,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
139,DIPLOMA PENGAJIAN ISLAM DENGAN TEKNOLOGI MAKLUMAT,Diploma,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
140,DIPLOMA PENGELUARAN HERBA,Diploma,UNIVERSITI TEKNOLOGI MARA,2022,100
141,DIPLOMA PENGURUSAN BANK,Diploma,UNIVERSITI TEKNOLOGI MARA,2022,100
142,DIPLOMA PENGURUSAN HARTA TANAH,Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
143,DIPLOMA PENGURUSAN LOGISTIK,Diploma,UNIVERSITI PERTAHANAN NASIONAL MALAYSIA,2022,100
144,DIPLOMA PENGURUSAN TEKNOLOGI,Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
145,DIPLOMA PENTADBIRAN PERNIAGAAN,Diploma,UNIVERSITI PERTAHANAN NASIONAL MALAYSIA,2022,100
146,DIPLOMA PERANCANGAN BANDAR DAN WILAYAH,Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
147,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
148,DIPLOMA PROFESIONAL KAWALAN PROSES & TEKNOLOGI INSTRUMENTASI (PETROLEUM & GAS),Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
149,DIPLOMA PROFESIONAL PEMODELAN MAKLUMAT BANGUNAN DAN SISTEM BINAAN BERINDUSTRI,Sijil Lanjutan,UNIVERSITI MALAYSIA PERLIS,2022,100
150,DIPLOMA PROFESIONAL PENGURUSAN BAKAT BERASASKAN KOMPETENSI,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
151,DIPLOMA PROFESIONAL PENGURUSAN FASILITI,Sijil Lanjutan,UNIVERSITI MALAYSIA PERLIS,2022,100
152,DIPLOMA PROFESIONAL PENGURUSAN OPERASI INDUSTRI,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
153,DIPLOMA PROFESIONAL PENGURUSAN PERLADANGAN & TEKNOLOGI,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
154,DIPLOMA PROFESIONAL PENGURUSAN PERNIAGAAN & ENTREPRENEURSHIP,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
155,DIPLOMA PROFESIONAL PENGURUSAN SUMBER MANUSIA,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
156,DIPLOMA PROFESIONAL PENGURUSAN TEKNOLOGI INDUSTRI,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
157,DIPLOMA PROFESIONAL PENGURUSAN TRAFIK PEMBINAAN,Sijil Lanjutan,UNIVERSITI MALAYSIA PERLIS,2022,100
158,DIPLOMA PROFESIONAL PENTADBIRAN OPERASI LOGISTIK,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
159,DIPLOMA PROFESIONAL PENYELIAAN TAPAK PEMBINAAN,Sijil Lanjutan,UNIVERSITI MALAYSIA PERLIS,2022,100
160,DIPLOMA PROFESIONAL TEKNOLOGI DAN PENGURUSAN MINYAK & GAS,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
161,DIPLOMA RADIOGRAFI,Diploma,UNIVERSITI MALAYA,2022,100
162,DIPLOMA SAINS KEJURURAWATAN,Diploma,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
163,DIPLOMA SAINS KOMPUTER,Diploma,UNIVERSITI MALAYSIA PAHANG,2022,100
164,DIPLOMA SAINS KOMPUTER (MULTIMEDIA),Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
165,DIPLOMA SAINS KOMPUTER (TEKNOLOGI MAKLUMAT),Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
166,DIPLOMA SAINS SERTA PENDIDIKAN (PENGAJIAN ISLAM),Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
167,DIPLOMA SENIBINA,Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
168,DIPLOMA SISWAZAH SAINS KEPOLISAN-PDRM1,Diploma lanjutan,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
169,DIPLOMA TARI,Diploma,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,100
170,DIPLOMA TEATER,Diploma,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,100
171,DIPLOMA TEKNOLOGI KEJURUTERAAN KIMIA,Diploma,UNIVERSITI TUN HUSSEIN ONN MALAYSIA,2022,100
172,DIPLOMA TEKNOLOGI MAKLUMAT,Diploma,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,100
173,DIPLOMA UKUR BAHAN,Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
174,DIPLOMA UKUR TANAH,Diploma,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
175,DOCTOR OF BUSINESS ADMINISTRATION,PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
176,DOCTOR OF PHILOSOPHY (ACCOUNTING),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
177,DOCTOR OF PHILOSOPHY (ARABIC LINGUISTIC STUDIES),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
178,DOCTOR OF PHILOSOPHY (BIOSCIENCES),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
179,DOCTOR OF PHILOSOPHY (BUSINESS ADMINISTRATION),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
180,DOCTOR OF PHILOSOPHY (COMPUTATIONAL AND THEORETICAL SCIENCES),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
181,DOCTOR OF PHILOSOPHY (ENGINEERING),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
182,DOCTOR OF PHILOSOPHY (INFORMATION TECHNOLOGY),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
183,DOCTOR OF PHILOSOPHY (ISLAMIC BANKING AND FINANCE),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
184,DOCTOR OF PHILOSOPHY (LAW),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
185,DOCTOR OF PHILOSOPHY (LIBRARY AND INFORMATION SCIENCE),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
186,DOCTOR OF PHILOSOPHY (MEDICAL SCIENCES),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
187,DOCTOR OF PHILOSOPHY IN BIOBEHAVIORAL HEALTH SCIENCES,PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
188,DOCTOR OF PHILOSOPHY IN EDUCATION,PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
189,DOCTOR OF PHILOSOPHY IN HEALTH SCIENCES,PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
190,DOCTOR OF PHILOSOPHY IN ISLAMIC REVEALED KNOWLEDGE AND HERITAGE,PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
191,DOCTOR OF PHILOSOPHY IN NURSING,PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
192,DOCTOR OF PHILOSOPHY IN PHARMACEUTICAL SCIENCES (PHARMACY PRACTICE),PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
193,DOCTOR OF PHILOSOPHY IN PHARMACY,PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
194,DOCTOR OF PHILOSOPHY IN PSYCHOLOGY,PhD,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,100
195,DOKTOR FALSAFAH,PhD,UNIVERSITI TEKNOLOGI MARA,2022,100
196,DOKTOR FALSAFAH - MCS,PhD,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
197,DOKTOR FALSAFAH (ALAM SEKITAR & PEMBANGUNAN),PhD,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
198,DOKTOR FALSAFAH (BAHASA ARAB),PhD,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
199,DOKTOR FALSAFAH (BIMBINGAN DAN KAUNSELING),PhD,UNIVERSITI TEKNOLOGI MALAYSIA,2022,100
200,DOKTOR FALSAFAH (BIOKIMIA),PhD,UNIVERSITI TEKNOLOGI MARA,2022,100
201,DOKTOR FALSAFAH (BIOLOGI SISTEM),PhD,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
202,DOKTOR FALSAFAH (BIOLOGI),PhD,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
203,DOKTOR FALSAFAH (BIOLOGI),PhD,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,100
204,DOKTOR FALSAFAH (BOTANI) (STAP),PhD,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
205,DOKTOR FALSAFAH (DIETETIK),PhD,UNIVERSITI KEBANGSAAN MALAYSIA,2022,100
206,DOKTOR FALSAFAH (DUAL PHD),PhD,UNIVERSITI MALAYA,2022,100
207,DOKTOR FALSAFAH (EKONOMI),PhD,UNIVERSITI MALAYSIA PERLIS,2022,100
208,DOKTOR FALSAFAH (FARMAKOGENOMIK),PhD,UNIVERSITI TEKNOLOGI MARA,2022,100
